REFERENCE_NUMBER,ENTITY_TYPE,FIRST_NAME,SECOND_NAME,THIRD_NAME,FOURTH_NAME,UN_LIST_TYPE,DESIGNATION,NATIONALITY,NATIONALITY2
QDi.266,INDIVIDUAL,MAHMOUD,MOHAMMAD,AHMED,BAHAZIQ,Al-Qaida,,Saudi Arabia,
IRi.009,INDIVIDUAL,BAHMANYAR MORTEZA,BAHMANYAR,,,Iran,"Head of Finance and Budget Department of the Aerospace Industries
Organization (AIO).",Iran,
CDi.036,INDIVIDUAL,SEKA,BALUKU,,,DRC,"Overall leader of the Allied Democratic Forces (ADF)
                (CDe.001).",Uganda,
QDi.311,INDIVIDUAL,AYYUB,BASHIR,,,Al-Qaida,,Uzbekistan,
QDi.055,INDIVIDUAL,MAHMOOD,SULTAN,BASHIR-UD-DIN,,Al-Qaida,,Pakistan,
QDi.345,INDIVIDUAL,TARKHAN,TAYUMURAZOVICH,BATIRASHVILI,,Al-Qaida,,Georgia,
QDi.279,INDIVIDUAL,MOHAMED,BELKALEM,,,Al-Qaida,,Algerian,
QDi.136,INDIVIDUAL,MOKHTAR,BELMOKHTAR,,,Al-Qaida,,Algeria,
QDi.375,INDIVIDUAL,BOUBAKER,BEN HABIB,BEN AL-HAKIM,,Al-Qaida,,France,
MLi.006,INDIVIDUAL,MAHRI,SIDI,AMAR,BEN DAHA,Mali,Deputy chief of staff of the regional coordination of the Mécanisme opérationnel de coordination (MOC) in Gao ,Mali,
QDi.355,INDIVIDUAL,SOFIANE,BEN GOUMO,,,Al-Qaida,,Libya,
QDi.333,INDIVIDUAL,SEIFALLAH,BEN OMAR,BEN MOHAMED,BEN HASSINE,Al-Qaida,,Tunisia,
QDi.386,INDIVIDUAL,MOUNIR,BEN DHAOU,BEN BRAHIM,BEN HELAL,Al-Qaida,,Tunisia,
QDi.388,INDIVIDUAL,SALIM,BENGHALEM,,,Al-Qaida,,France,
QDi.307,INDIVIDUAL,HAFIZ,ABDUL SALAM,BHUTTAVI,,Al-Qaida,,Pakistan,
QDi.421,INDIVIDUAL,HAMZA,USAMA,MUHAMMAD,BIN LADEN,Al-Qaida,,,
QDi.009,INDIVIDUAL,BILAL,BIN MARWAN,,,Al-Qaida,,,
QDi.417,INDIVIDUAL,MOHAMAD,RAFI,BIN UDIN,,Al-Qaida,,Malaysia,
QDi.081,INDIVIDUAL,RAMZI,MOHAMED,ABDULLAH,BINALSHIBH,Al-Qaida,,Yemen,
KPi.016,INDIVIDUAL,JANG,BOM SU,,,DPRK,Tanchon Commercial Bank Representative in Syria ,Democratic People's Republic of Korea,
KPi.073,INDIVIDUAL,PAK,BONG NAM,,,DPRK,Pak Bong Nam is an overseas Ilsim International Bank representative,Democratic People's Republic of Korea,
QDi.188,INDIVIDUAL,FAYCAL,BOUGHANEMI,,,Al-Qaida,,Tunisia,
QDi.058,INDIVIDUAL,BOUBEKEUR,BOULGHITI,,,Al-Qaida,,Algeria,
QDi.143,INDIVIDUAL,HAMADI,BEN ABDUL AZIZ,BEN ALI,BOUYEHIA,Al-Qaida,,Tunisia,
CFi.001,INDIVIDUAL,FRANÇOIS,YANGOUVONDA,BOZIZÉ,,CAR,,Central African Republic,
CDi.002,INDIVIDUAL,FRANK KAKOLELE,BWAMBALE,,,DRC,FARDC General ,Democratic Republic of the Congo,
KPi.047,INDIVIDUAL,MIN,BYONG CHOL,,,DPRK,"Member of the Worker’s Party of Korea’s Organization and Guidance
Department, which directs key personnel appointments for the Workers’ Party of Korea
and the DPRK’s military ",Democratic People's Republic of Korea,
QDi.396,INDIVIDUAL,ASLAN,AVGAZAROVICH,BYUTUKAEV,,Al-Qaida,,Russian Federation,
LYi.028,INDIVIDUAL,Salah,Badi,,,Libya,"Senior commander of the armed anti-GNA Al-Somood front, also known as Fakhr or ‘Pride of Libya’, and the Misratan Al Marsa Central Shield brigade",,
QDi.405,INDIVIDUAL,Malik,Ruslanovich,Barkhanoev,,Al-Qaida,,Russian Federation,
SOi.001,INDIVIDUAL,Yasin,Ali,Baynah,,Somalia,,Somalia,
GBi.001,INDIVIDUAL,IBRAIMA,CAMARÁ,,,GB,Brigadier General,Guinea-Bissau,
KPi.011,INDIVIDUAL,KO,CH'O'L-CHAE,,,DPRK,"Deputy Chief Representative for the Korea Mining Development Trading
Corporation (KOMID)",Democratic People's Republic of Korea,
KPi.006,INDIVIDUAL,PAEK,CHANG-HO,,,DPRK,"Senior official and head of the satellite control center of Korean
Committee for Space Technology",Democratic People's Republic of Korea,
QDi.365,INDIVIDUAL,AKHMED,RAJAPOVICH,CHATAEV,,Al-Qaida,,Russian Federation,
QDi.312,INDIVIDUAL,AAMIR,ALI,CHAUDHRY,,Al-Qaida,,Pakistan,
QDi.070,INDIVIDUAL,YASSINE,CHEKKOURI,,,Al-Qaida,,Morocco,
QDi.376,INDIVIDUAL,PETER,CHERIF,,,Al-Qaida,,France,
KPi.010,INDIVIDUAL,YO'N,CHO'NG NAM,,,DPRK,"Chief Representative for the Korea Mining Development Trading
Corporation (KOMID)",Democratic People's Republic of Korea,
KPi.012,INDIVIDUAL,MUN,CHO'NG-CH'O'L,,,DPRK,Tanchon Commercial Bank (TCB) official,Democratic People's Republic of Korea,
KPi.069,INDIVIDUAL,KO,CHOL MAN,,,DPRK,Ko Chol Man is an overseas Foreign Trade Bank representative,Democratic People's Republic of Korea,
KPi.044,INDIVIDUAL,KIM,CHOL NAM,,,DPRK,"President of Korea Kumsan Trading Corporation, a company that procures
supplies for General Bureau of Atomic Energy and serves as a cash route to the
DPRK",Democratic People's Republic of Korea,
KPi.058,INDIVIDUAL,JO,CHOL SONG,,,DPRK,Deputy Representative for the Korea Kwangson Banking Corporation,Democratic People's Republic of Korea,
KPi.059,INDIVIDUAL,KANG,CHOL SU,,,DPRK,Official for Korea Ryonbong General Corporation,Democratic People's Republic of Korea,
KPi.028,INDIVIDUAL,YU,CHOL U,,,DPRK,"Director of the National Aerospace Development Administration
            ",Democratic People's Republic of Korea,
QDi.419,INDIVIDUAL,ANJEM,CHOUDARY,,,Al-Qaida,,United Kingdom of Great Britain and Northern Ireland,
QDi.300,INDIVIDUAL,MONIR,CHOUKA,,,Al-Qaida,,Germany,
QDi.301,INDIVIDUAL,YASSIN,CHOUKA,,,Al-Qaida,,Germany,
KPi.074,INDIVIDUAL,RI,CHUN HWAN,,,DPRK,Ri Chun Hwan is an overseas Foreign Trade Bank representative,Democratic People's Republic of Korea,
KPi.075,INDIVIDUAL,RI,CHUN SONG,,,DPRK,Ri Chun Song is an overseas Foreign Trade Bank representative,Democratic People's Republic of Korea,
KPi.054,INDIVIDUAL,CHOE,CHUN YONG,,,DPRK,Representative for Ilsim International Bank ,Democratic People's Republic of Korea,
KPi.013,INDIVIDUAL,CHOE,CHUN-SIK,,,DPRK,Director of the Second Academy of Natural Sciences (SANS) ,Democratic People's Republic of Korea,
SSi.003,INDIVIDUAL,JAMES,KOANG,CHUOL,,SouthSudan,,South Sudan,
QDi.141,INDIVIDUAL,MAXAMED,CABDULLAAH,CIISE,,Al-Qaida,,Somalia,
QDi.410,INDIVIDUAL,SHANE,DOMINIC,CRAWFORD,,Al-Qaida,,Trinidad and Tobago,
QDi.331,INDIVIDUAL,ANDERS,CAMEROON,OSTENSVIG,DALE,Al-Qaida,,Norway,
GBi.003,INDIVIDUAL,CRANHA,DANFA,,,GB,Colonel,Guinea-Bissau,
CFi.015,INDIVIDUAL,ALI,DARASSA,,,CAR,Founder and leader of the Unité pour la Paix en Centrafrique (UPC) ,Central African Republic,
IRi.012,INDIVIDUAL,AHMAD VAHID,DASTJERDI,,,Iran,Head of the AIO,,
QDi.245,INDIVIDUAL,PIO,ABOGNE,DE VERA,,Al-Qaida,,Philippines,
QDi.252,INDIVIDUAL,AHMED,DEGHDEGH,,,Al-Qaida,,Algeria,
TAi.113,INDIVIDUAL,SHAHABUDDIN,DELAWAR,,,Taliban,Deputy of High Court under the Taliban regime,Afghanistan,
QDi.246,INDIVIDUAL,REDENDO,CAIN,DELLOSA,,Al-Qaida,,Philippines,
QDi.243,INDIVIDUAL,FELICIANO,SEMBORIO,DELOS REYES JR.,,Al-Qaida,,Philippines,
IRi.013,INDIVIDUAL,AHMAD,DERAKHSHANDEH,,,Iran,"Chairman and Managing Director of Bank Sepah, which provides support
for the AIO and subordinates, including SHIG and SBIG, both of which were designated
under resolution 1737 (2006).",,
QDi.342,INDIVIDUAL,OUMAR,DIABY,,,Al-Qaida,,Senegal,
LYi.002,INDIVIDUAL,ABDULQADER,YUSEF,DIBRI,,Libya,Head of Muammar Qadhafi's personal security,,
SOi.014,INDIVIDUAL,AHMED,DIRIYE,,,Somalia,,,
GBi.004,INDIVIDUAL,IDRISSA,DJALÓ,,,GB,Major,Guinea-Bissau,
QDi.167,INDIVIDUAL,KAMEL,DJERMANE,,,Al-Qaida,,Algeria,
QDi.249,INDIVIDUAL,YAHIA,DJOUADI,,,Al-Qaida,,Algeria,
LYi.006,INDIVIDUAL,ABU,ZAYD,UMAR,DORDA,Libya,"Director, External Security Organisation.",,
TAi.092,INDIVIDUAL,DOST MOHAMMAD,,,,Taliban,Governor of Ghazni Province under the Taliban regime,Afghanistan,
TAi.019,INDIVIDUAL,NIK MOHAMMAD,DOST MOHAMMAD,,,Taliban,Deputy Minister of Commerce under the Taliban regime,Afghanistan,
QDi.232,INDIVIDUAL,ABDELMALEK,DROUKDEL,,,Al-Qaida,,Algeria,
SSi.002,INDIVIDUAL,SIMON,GATWECH,DUAL,,SouthSudan,"Chief of General Staff, SPLA in Opposition",,
QDi.095,INDIVIDUAL,LIONEL,DUMONT,,,Al-Qaida,,France,
QDi.111,INDIVIDUAL,AGUS,DWIKARNA,,,Al-Qaida,,Indonesia,
QDi.019,INDIVIDUAL,ABDULLAH,AHMED,ABDULLAH,EL ALFI,Al-Qaida,,Egypt,
QDi.142,INDIVIDUAL,RADI,ABD EL SAMIE,ABOU EL YAZID,EL AYASHI,Al-Qaida,,Egypt,
QDi.262,INDIVIDUAL,REDOUANE,EL HABHAB,,,Al-Qaida,,Germany,
QDi.082,INDIVIDUAL,MOUNIR,EL MOTASSADEQ,,,Al-Qaida,,Morocco,
QDi.065,INDIVIDUAL,ABD EL KADER,MAHMOUD,MOHAMED,EL SAYED,Al-Qaida,,Egypt,
QDi.409,INDIVIDUAL,ELSHAFEE,EL SHEIKH,,,Al-Qaida,,United Kingdom of Great Britain and Northern Ireland,
SDi.001,INDIVIDUAL,GAFFAR,MOHAMMED,ELHASSAN,,Sudan,"Major-General and Commander of the Western Military Region for the
Sudanese Armed Forces (SAF)", na,
TAi.063,INDIVIDUAL,MOHAMMAD AZAM,ELMI,,,Taliban,"Deputy Minister of Mines and Industries under the Taliban
regime",Afghanistan,
QDi.064,INDIVIDUAL,SAMI,BEN KHAMIS,BEN SALEH,ELSSEID,Al-Qaida,,Tunisia,
IRi.014,INDIVIDUAL,MOHAMMAD,ESLAMI,,,Iran,"Head of Iran's Defence Industries Training and Research
Institute.",,
IRi.015,INDIVIDUAL,REZA-GHOLI,ESMAELI,,,Iran,"Head of Trade and International Affairs Department of the
AIO.",,
QDi.096,INDIVIDUAL,MOUSSA,BEN OMAR,BEN ALI,ESSAADI,Al-Qaida,,Tunisia,
QDi.083,INDIVIDUAL,ZAKARYA,ESSABAR,,,Al-Qaida,,Morocco,
TAi.036,INDIVIDUAL,FAIZ,,,,Taliban,"Head of the Information Department, Ministry of Foreign Affairs under the
Taliban regime",Afghanistan,
IRi.016,INDIVIDUAL,MOHSEN,FAKHRIZADEH-MAHABADI,,,Iran,Senior MODAFL scientist,,
TAi.106,INDIVIDUAL,MOHAMMAD SHAFIQULLAH,AHMADI,FATIH KHAN,,Taliban,Governor of Samangan Province under the Taliban regime,Afghanistan,
QDi.352,INDIVIDUAL,MAULANA,FAZLULLAH,,,Al-Qaida,,,
SSi.006,INDIVIDUAL,PETER,GADET,,,SouthSudan,,,
QDi.251,INDIVIDUAL,SALAH EDDINE,GASMI,,,Al-Qaida,,Algeria,
CFi.007,INDIVIDUAL,HAROUN,GAYE,,,CAR,"Rapporteur of the political coordination of the Front Populaire pour la
Renaissance de Centrafrique (FPRC)",,
QDi.366,INDIVIDUAL,TARKHAN,ISMAILOVICH,GAZIEV,,Al-Qaida,,Russian Federation,
QDi.431,INDIVIDUAL,SANAULLAH,GHAFARI,,,Al-Qaida,,Afghanistan,
QDi.028,INDIVIDUAL,AHMED,KHALFAN,GHAILANI,,Al-Qaida,,United Republic of Tanzania,
IQi.045,INDIVIDUAL,NAYIF,SHINDAKH,THAMIR,GHALIB,Iraq,,Iraq,
IQi.047,INDIVIDUAL,FADIL,MAHMUD,GHARIB,,Iraq,,Iraq,
TAi.030,INDIVIDUAL,AREFULLAH,AREF,GHAZI MOHAMMAD,,Taliban,Deputy Minister of Finance under the Taliban regime,Afghanistan,
QDi.250,INDIVIDUAL,AMOR,MOHAMED,GHEDEIR,,Al-Qaida,,Algeria,
TAi.004,INDIVIDUAL,MOHAMMED,OMAR,GHULAM NABI,,Taliban,"Leader of the Faithful ('Amir ul-Mumineen'), Afghanistan",Afghanistan,
QDi.367,INDIVIDUAL,ZAURBEK,SALIMOVICH,GUCHAEV,,Al-Qaida,,Russian Federation,
QDi.341,INDIVIDUAL,KEVIN,JORDAN,AXEL,GUIAVARCH,Al-Qaida,,France,
TAi.161,INDIVIDUAL,BAKHT,GUL,,,Taliban,,Afghanistan,
QDi.218,INDIVIDUAL,GUN GUN,RUSMAN,GUNAWAN,,Al-Qaida,,Indonesia,
TAi.069,INDIVIDUAL,RUSTUM,HANAFI,HABIBULLAH,,Taliban,Deputy Minister of Public Works under the Taliban regime,Afghanistan,
IQi.023,INDIVIDUAL,MIZBAN,KHADR,HADI,,Iraq,,Iraq,
TAi.140,INDIVIDUAL,GUL AHMAD,HAKIMI,,,Taliban,"Commercial Attache, Taliban Consulate General, Karachi,
Pakistan",Afghanistan,
QDi.003,INDIVIDUAL,SALIM,AHMAD,SALIM,HAMDAN,Al-Qaida,,Yemen,
QDi.068,INDIVIDUAL,ADEL,BEN AL-AZHAR,BEN YOUSSEF,HAMDI,Al-Qaida,,Tunisia,
SOi.010,INDIVIDUAL,OMAR,HAMMAMI,,,Somalia,,United States. Also believed to hold Syrian nationality,
KPi.049,INDIVIDUAL,PAK,HAN SE,,,DPRK,"Vice Chairman of the Second Economic Committee, which oversees the
production of the DPRK’s ballistic missiles ",Democratic People's Republic of Korea,
TAi.043,INDIVIDUAL,DIN MOHAMMAD,HANIF,,,Taliban,"a) Minister of Planning under the Taliban regime b) Minister of Higher
Education under the Taliban regime",Afghanistan,
QDi.204,INDIVIDUAL,ISNILON,TOTONI,HAPILON,,Al-Qaida,,Philippines,
QDi.268,INDIVIDUAL,ABDUL,HAQ,,,Al-Qaida,,China,
TAi.040,INDIVIDUAL,JALALUDDIN,HAQQANI,,,Taliban,Minister of Frontier Affairs under the Taliban regime,Afghanistan,
TAi.150,INDIVIDUAL,KHALIL,AHMED,HAQQANI,,Taliban,,Afghanistan,
TAi.079,INDIVIDUAL,MOHAMMAD SALIM,HAQQANI,,,Taliban,"Deputy Minister of Preventing Vice and Propagating Virtue under the Taliban
regime",Afghanistan,
TAi.146,INDIVIDUAL,NASIRUDDIN,HAQQANI,,,Taliban,,Afghanistan,
TAi.006,INDIVIDUAL,SAYYED MOHAMMED,HAQQANI,,,Taliban,Director of Administrative Affairs under the Taliban regime,Afghanistan,
TAi.144,INDIVIDUAL,SIRAJUDDIN,JALLALOUDINE,HAQQANI,,Taliban,Na'ib Amir (Deputy Commander),Afghanistan,
TAi.169,INDIVIDUAL,YAHYA,HAQQANI,,,Taliban,,Afghanistan,
IQi.064,INDIVIDUAL,ALI,BARZAN,IBRAHIM,HASAN AL-TIKRITI,Iraq,,Iraq,
IQi.083,INDIVIDUAL,AYMAN,SABAWI,IBRAHIM,HASAN AL-TIKRITI,Iraq,,Iraq,
IQi.085,INDIVIDUAL,BASHAR,SABAWI,IBRAHIM,HASAN AL-TIKRITI,Iraq,,Iraq,
IQi.084,INDIVIDUAL,IBRAHIM,SABAWI,IBRAHIM,HASAN AL-TIKRITI,Iraq,,Iraq,
IQi.066,INDIVIDUAL,KHAWLA,BARZAN,IBRAHIM,HASAN AL-TIKRITI,Iraq,,Iraq,
IQi.062,INDIVIDUAL,MOHAMMAD,BARZAN,IBRAHIM,HASAN AL-TIKRITI,Iraq,,Iraq,
IQi.065,INDIVIDUAL,NOOR,BARZAN,IBRAHIM,HASAN AL-TIKRITI,Iraq,,Iraq,
IQi.082,INDIVIDUAL,OMAR,SABAWI,IBRAHIM,HASAN AL-TIKRITI,Iraq,,Iraq,
IQi.063,INDIVIDUAL,SAJA,BARZAN,IBRAHIM,HASAN AL-TIKRITI,Iraq,,Iraq,
IQi.086,INDIVIDUAL,SA’D,SABAWI,IBRAHIM,HASAN AL-TIKRITI,Iraq,,Iraq,
IQi.067,INDIVIDUAL,THORAYA,BARZAN,IBRAHIM,HASAN AL-TIKRITI,Iraq,,Iraq,
IQi.081,INDIVIDUAL,YASIR,SABAWI,IBRAHIM,HASAN AL-TIKRITI,Iraq,,Iraq,
QDi.378,INDIVIDUAL,MAXIME,HAUCHARD,,,Al-Qaida,,France,
IRi.017,INDIVIDUAL,MOHAMMAD,HEJAZI,,,Iran,Brigadier General,,
TAi.014,INDIVIDUAL,HIDAYATULLAH,,,,Taliban,"Deputy Minister of Civil Aviation and Tourism under the Taliban
regime",Afghanistan,
TAi.071,INDIVIDUAL,NAJIBULLAH,HAQQANI,HIDAYATULLAH,,Taliban,Deputy Minister of Finance under the Taliban regime,Afghanistan,
QDi.029,INDIVIDUAL,RAED,MUHAMMAD HASAN,MUHAMMAD,HIJAZI,Al-Qaida,,Jordan,
CFi.012,INDIVIDUAL,ABDOULAYE,HISSENE,,,CAR, “general” ,Central African Republic,
KPi.001,INDIVIDUAL,YUN,HO-JIN,,,DPRK,Director of Namchongang Trading Corporation,Democratic People's Republic of Korea,
IRi.018,INDIVIDUAL,MOHSEN,HOJATI,,,Iran,"Head of Fajr Industrial Group, which is designated under resolution
1737 (2006) for its role in the ballistic missile programme.",,
KPi.004,INDIVIDUAL,RI,HONG-SOP,,,DPRK,"Former director, Yongbyon Nuclear Research Center, and Head of Nuclear Weapons Institute ",Democratic People's Republic of Korea,
TAi.049,INDIVIDUAL,ABDUL RAHMAN,AHMAD,HOTTAK,,Taliban,"Deputy (Cultural) Minister of Information and Culture under the Taliban
regime",Afghanistan,
QDi.359,INDIVIDUAL,OMAR,ALI,HUSSAIN,,Al-Qaida,,United Kingdom of Great Britain and Northern Ireland,
QDi.144,INDIVIDUAL,MOHAMMAD,TAHIR,HAMMID,HUSSEIN,Al-Qaida,,Iraq,
IQi.019,INDIVIDUAL,ABD-AL-TAWWAB,MULLAH,HUWAYSH,,Iraq,,Iraq,
KPi.042,INDIVIDUAL,CHOE,HWI,,,DPRK,"First Vice Director of the Workers' Party of Korea Propaganda and Agitation
Department, which controls all DPRK media and is used by the government to control
the public ",Democratic People's Republic of Korea,
KPi.065,INDIVIDUAL,CHU,HYO’K,,,DPRK,"Chu Hyo’k is a North Korean national who is an overseas Foreign Trade Bank
representative",Democratic People's Republic of Korea,
QDi.067,INDIVIDUAL,MOSTAFA,KAMEL,MOSTAFA,IBRAHIM,Al-Qaida,,United Kingdom of Great Britain and Northern Ireland,
QDi.395,INDIVIDUAL,MUHAMMAD,SHOLEH,IBRAHIM,,Al-Qaida,,Indonesia,
TAi.119,INDIVIDUAL,JAN MOHAMMAD,MADANI,IKRAM,,Taliban,"Charge d'Affaires, Taliban Embassy, Abu Dhabi, United Arab
Emirates",Afghanistan,
KPi.029,INDIVIDUAL,PAK,CHUN,IL,,DPRK,Served as DPRK Ambassador to Egypt,Democratic People's Republic of Korea,
KPi.040,INDIVIDUAL,CHO,IL U,,,DPRK,Director of the Fifth Bureau of the Reconnaissance General Bureau ,Democratic People's Republic of Korea,
QDi.374,INDIVIDUAL,NUSRET,IMAMOVIC,,,Al-Qaida,,Bosnia and Herzegovina,
GBi.005,INDIVIDUAL,ANTÓNIO,INJAI,,,GB,Lieutenant General,Guinea-Bissau,
QDi.308,INDIVIDUAL,ZAFAR,IQBAL,,,Al-Qaida,,Pakistan,
QDi.087,INDIVIDUAL,NURJAMAN,RIDUAN,ISAMUDDIN,,Al-Qaida,,Indonesia,
TAi.147,INDIVIDUAL,GUL,AGHA,ISHAKZAI,,Taliban,,,
QDi.368,INDIVIDUAL,SHAMIL,MAGOMEDOVICH,ISMAILOV,,Al-Qaida,,Russian Federation,
CDi.003,INDIVIDUAL,GASTON,IYAMUREMYE,,,DRC,FDLR Interim President,Rwanda,
LYi.029,INDIVIDUAL,Osama,Al Kuni,Ibrahim,,Libya,,Libya,
KPi.062,INDIVIDUAL,Pak,Il Kyu,,,DPRK,Official for Korea Ryonbong General Corporation,Democratic People's Republic of Korea,
KPi.070,INDIVIDUAL,KU,JA HYONG,,,DPRK,Ku Ja Hyong is a Foreign Trade Bank chief representative in Libya,Democratic People's Republic of Korea,
LYi.007,INDIVIDUAL,ABU,BAKR,YUNIS,JABIR,Libya,"Defence
Minister.",,
KPi.051,INDIVIDUAL,RI,JAE IL,,,DPRK,"Vice Director of the Workers’ Party of Korea Propaganda and Agitation
Department, which controls all DPRK’s media and is used by the government to control
the public ",Democratic People's Republic of Korea,
TAi.047,INDIVIDUAL,QUDRATULLAH,JAMAL,,,Taliban,Minister of Information under the Taliban regime,Afghanistan,
TAi.170,INDIVIDUAL,SAIDULLAH,JAN,,,Taliban,,,
KPi.055,INDIVIDUAL,HAN,JANG SU,,,DPRK,Chief Representative of the Foreign Trade Bank,Democratic People's Republic of Korea,
KPi.002,INDIVIDUAL,RI,JE-SON,,,DPRK,Minister of Atomic Energy Industry since April 2014.,Democratic People's Republic of Korea,
KPi.027,INDIVIDUAL,RYU,JIN,,,DPRK,KOMID Representative in Syria ,Democratic People's Republic of Korea,
QDi.360,INDIVIDUAL,SALLY-ANNE,FRANCES,JONES,,Al-Qaida,,United Kingdom of Great Britain and Northern Ireland,
KPi.066,INDIVIDUAL,KIM,JONG SIK,,,DPRK,A leading official guiding the DPRK’s WMD development efforts. Serving as Deputy Director of the Workers’ Party of Korea Munitions Industry Department,Democratic People's Republic of Korea,
QDi.394,INDIVIDUAL,HUSAYN,JUAYTHINI,,,Al-Qaida,,Palestinian,
QDi.114,INDIVIDUAL,SALIM Y SALAMUDDIN,JULKIPLI,,,Al-Qaida,,Philippines,
KPi.021,INDIVIDUAL,KIM,JUNG JONG,,,DPRK,Tanchon Commercial Bank Representative,Democratic People's Republic of Korea,
LYi.027,INDIVIDUAL,Ibrahim,Saeed,Salim,Jadhran,Libya,Leader of armed militias ,Libya,
CDi.004,INDIVIDUAL,INNOCENT,KAINA,,,DRC,Former M23 Deputy Commander ,,
TAi.137,INDIVIDUAL,RAHMATULLAH,KAKAZADA,,,Taliban,"Consul General, Taliban Consulate General, Karachi, Pakistan",Afghanistan,
CDi.005,INDIVIDUAL,JÉRÔME,KAKWAVU BUKANDE,,,DRC,,Democratic Republic of the Congo,
QDi.072,INDIVIDUAL,MEHDI,BEN MOHAMED,BEN MOHAMED,KAMMOUN,Al-Qaida,,Tunisia,
CDi.035,INDIVIDUAL,GÉDÉON,KYUNGU,MUTANGA WA BAFUNKWA,KANONGA,DRC,Katangan rebel leader,,
QDi.416,INDIVIDUAL,MOHAMMED,YUSIP,KARIM,,Al-Qaida,,Indonesia,
QDi.135,INDIVIDUAL,DAWOOD,IBRAHIM,KASKAR,,Al-Qaida,,India,
CDi.006,INDIVIDUAL,GERMAIN,KATANGA,,,DRC,,Democratic Republic of the Congo,
IRi.020,INDIVIDUAL,MEHRDADA AKHLAGHI,KETABACHI,,,Iran,"Head of the Shahid Bagheri Industrial Group (SBIG), which is
designated under resolution 1737 (2006) for its role in the ballistic missile programme
(designated under IRe.066).",,
TAi.025,INDIVIDUAL,ABDUL RAUF,KHADEM,,,Taliban,Commander of Central Corps under the Taliban regime,Afghanistan,
TAi.093,INDIVIDUAL,KHAIRULLAH,KHAIRKHWAH,,,Taliban,Governor of Herat Province under the Taliban regime,Afghanistan,
SOi.005,INDIVIDUAL,FUAD,MOHAMED,KHALAF,,Somalia,,Somali,
QDi.372,INDIVIDUAL,GULMUROD,KHALIMOV,,,Al-Qaida,,Tajikistan,
QDi.306,INDIVIDUAL,MUSTAFA,HAJJI,MUHAMMAD,KHAN,Al-Qaida,,Pakistan,
TAi.064,INDIVIDUAL,EZATULLAH,HAQQANI,KHAN SAYYID,,Taliban,Deputy Minister of Planning under the Taliban regime,Afghanistan,
QDi.336,INDIVIDUAL,ANAS,HASAN,KHATTAB,,Al-Qaida,,Syrian Arab Republic,
TAi.163,INDIVIDUAL,KHAIRULLAH,BARAKZAI,KHUDAI NAZAR,,Taliban,,,
TAi.165,INDIVIDUAL,MOHAMMED QASIM,MIR WALI,KHUDAI RAHIM,,Taliban,,Afghanistan,
TAi.013,INDIVIDUAL,MOHAMMAD NAIM,BARICH,KHUDAIDAD,,Taliban,"Deputy Minister of Civil Aviation under the Taliban
regime",Afghanistan,
QDi.418,INDIVIDUAL,MUHAMMED,REZA,LAHAMAN,KIRAM,Al-Qaida,,Philippines,
QDi.340,INDIVIDUAL,EMILIE,EDWIGE,KONIG,,Al-Qaida,,France,
CFi.010,INDIVIDUAL,ALI,KONY,,,CAR,"Deputy, Lord’s Resistance Army",,
CFi.009,INDIVIDUAL,JOSEPH,KONY,,,CAR,Commander of the Lord’s Resistance Army ,Uganda,
CFi.011,INDIVIDUAL,SALIM,KONY,,,CAR,"Deputy, Lord’s Resistance Army",,
QDi.408,INDIVIDUAL,ALEXANDA,AMON,KOTEY,,Al-Qaida,,United Kingdom of Great Britain and Northern Ireland,
QDi.425,INDIVIDUAL,AMADOU,KOUFA,,,Al-Qaida,,,
CFi.013,INDIVIDUAL,MARTIN,KOUMTAMADJI,,,CAR,"President and commander-in-chief of the Front Démocratique du Peuple
                Centrafricain (FDPC)",Chad,
KPi.015,INDIVIDUAL,HYON,KWANG IL,,,DPRK,"Department Director for Scientific Development at the National Aerospace
Development Administration ",Democratic People's Republic of Korea,
KPi.009,INDIVIDUAL,KIM,KWANG-IL,,,DPRK,Tanchon Commercial Bank (TCB) official,Democratic People's Republic of Korea,
KPi.008,INDIVIDUAL,RA,KY'ONG-SU,,,DPRK,Tanchon Commercial Bank (TCB) official,Democratic People's Republic of Korea,
KPi.071,INDIVIDUAL,MUN,KYONG HWAN,,,DPRK,"Mun Kyong Hwan is an overseas Bank of East Land
                representative",Democratic People's Republic of Korea,
KPi.067,INDIVIDUAL,KIM,KYONG IL,,,DPRK,Kim Kyong Il is a Foreign Trade Bank deputy chief representative in Libya,Democratic People's Republic of Korea,
KPi.045,INDIVIDUAL,KIM,KYONG OK,,,DPRK,"Vice Director of the Organization and Guidance Department, which directs
key personnel appointments for the Workers’ Party of Korea and the DPRK’s
military",Democratic People's Republic of Korea,
KPi.022,INDIVIDUAL,KIM,KYU,,,DPRK,"Korea Mining Development Trading Corporation (KOMID) External Affairs
Officer",Democratic People's Republic of Korea,
LYi.025,INDIVIDUAL,Mohammed,Al Amin,Al-Arabi,Kashlaf,Libya,"Commander of the Shuhada al-Nasr brigade, Head of the Petrol Refinery Guard of Zawiya’s refinery",Libya,
IQi.049,INDIVIDUAL,Rashid,Taan,Kathim,,Iraq,,Iraq,
QDi.383,INDIVIDUAL,MORAD,LAABOUDI,,,Al-Qaida,,Morocco,
QDi.190,INDIVIDUAL,ABDELKADER,LAAGOUB,,,Al-Qaida,,Morocco,
QDi.319,INDIVIDUAL,MOHAMED,LAHBOUS,,,Al-Qaida,,Mali,
